Topic,Query,Misspelled Queries
Map Search,restaurants near Central Park,"['restaurants near eCntral Park', 'restaurantss negar Central Parhk', 'restauriant near Central Park', 'zrestaurants near Central Park', 'restaurnts near Central Park']"
Map Search,shortest route to Times Square from JFK Airport,"['shortest route to Timess Square from JFK Airport', 'shortest route to Times Sqquare from JFK Airport', 'shorteust route to Times Square from JFK Airport', 'shortest roucte to Times Square from JFK Airport', 'shortest route to Times Square from JFK Airprt']"
Map Search,petrol stations open now in downtown Los Angeles,"['petrol stavtions open now in downtown Los Angeles', 'petrool stations open now in downtown Los Angeles', 'petrol stations open now in dowtown Los Angels', 'petrol stations open now in downtown Los nAgeles', 'petrol stations open now inn odwntown Los Angeles']"
Map Search,walking directions to Eiffel Tower from Louvre Museum,"['walking directions eto Eiffel Tower from Louvre Museum', 'walking directions to Eiffel Tower fraom Luvre Museum', 'walking dirrections to Eiffel Tower form Louvre Museum', 'walking directions to Eiffel Tower from Loouvre Museum', 'walking directions to Eiffel TTower from Louvre Muselum']"
Map Search,nearest hiking trails in Yosemite National Park,"['nearest hiking trails in Yosemite Natioonal Park', 'nearest hiking trails in Yosemite Nationall Park', 'nearest hikign trails in Yosemite National Park', 'nearest hiking trails in Yosemite Ntional Park', 'nearest hiking trails in Yosemiite National Park']"
Job Search,software engineer jobs in San Francisco,"['software engineer obs in San Francisco', 'software engineer job in San Francisco', 'software engineer joobs in San Francisco', 'softawre engineer joobs in San FFrancisco', 'software engineer jobs in San Francsco']"
Job Search,remote work opportunities in marketing,"['remote wor opportunities in marketing', 'remote work opportunities in markesting', 'remote work opportunitioes in marketing', 'remote worrk opportunities in marketing', 'remote work opprotunities in mmarketing']"
Job Search,freelance graphic design projects for beginners,"['freelance graphic djesign projects for beginners', 'freelance graphic degsign projects for beginners', 'freelance graphic deiggn projects for beginnkers', 'freelance graphic design projects or beginners', 'freelance graphic design projeclts for beginners']"
Job Search,data scientist positions at Google,"['data scientist positions at oGogle', 'data scientist positions lat Googe', 'data scieentist positions at Google', 'dtaa sientist positions at Google', 'daaat scientist positions at Google']"
Job Search,entry-level mechanical engineering jobs in Austin,"['entry-level mechanial engineering jobs iin Austin', 'entry-level mechanical engineering jobs i Austin', 'entry-level mechanical engineering jobs in Austsin', 'entry-level mechanical engineering jobs n ustin', 'entry-level mechanical engineering jobs inn Austtin']"
Flight Search,cheap flights from New York to London,"['cheap flights frdom New York to London', 'cheap flights from New York tto London', 'cheap flights from New York to Londdon', 'hceap flights from New York o London', 'cheap flights from New Yorrk to London']"
Flight Search,nonstop flights to Tokyo from Los Angeles,"['nonstop flights to Tokyo rom Los Angeles', 'nonsotp flights to Tokyo from Los Angeles', 'nonstop flights ot Tokyo from Los Angeles', 'nonstop fllights to Tokyo from LLos Anegles', 'nonstop flights t Tokyo frzom Los Angeles']"
Flight Search,business class deals to Paris in December,"['business clas deals to Paris in December', 'business class deacls to Paris in Decmber', 'bbusiness class deals to Paris in December', 'business class deals to Paris i Decembner', 'business class deals to Paris inn December']"
Flight Search,flights under $500 to Hawaii in January,"['flights under $500 ot Hawaii in January', 'flights under $b500 to Hawaii in Janary', 'flights under $050 to Hawaii in January', 'flights under $50 to Hawaii in January', 'flights under $500 tzo Hawaii in January']"
